station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,poi_count,longitude,latitude,label,supplemented_from,supplemented_station_name,supplemented_via_compound
13119,0.245557127828714,0.000594000396558663,0.752659739380553,0.000594685182855063,0.000594447211319996,Topic_3,0.752659739380553,217,103.832846560376,1.29359371353737,Mixed-Use & Community,,,
13121,0.06319973222224,0.180610154336148,0.576690127485535,0.00203111238813344,0.177468873567943,Topic_3,0.576690127485535,63,103.830810493354,1.29419079841132,Mixed-Use & Community,,,
13139,0.0102196891618728,0.0102167948591515,0.808494258278966,0.0102128739399042,0.160856383760106,Topic_3,0.808494258278966,12,103.832060482128,1.29499409509232,Mixed-Use & Community,,,
13141,0.858349296144148,0.0354296345368656,0.0353935457436195,0.0353916856454334,0.0354358379299332,Topic_1,0.858349296144148,3,103.829968407603,1.29762462456693,Education & Professional Services,,,
13159,0.00882505763076288,0.0088203317066599,0.00881317120225497,0.00881181177516895,0.964729627685153,Topic_5,0.964729627685153,14,103.830534294183,1.29795877720844,Retail & Personal Care,,,
13169,0.010207438997701,0.0102063635642842,0.0102028769065273,0.0102010574132397,0.959182263118248,Topic_5,0.959182263118248,12,103.828434939364,1.29911640526406,Retail & Personal Care,,,
13171,0.014950170418334,0.156119974907493,0.0149222100833136,0.0149364101839486,0.799071234406911,Topic_5,0.799071234406911,8,103.826757140065,1.29903925187772,Retail & Personal Care,,,
13179,0.0194578835237286,0.0194134038510109,0.0194114209273126,0.019409601152011,0.922307690545937,Topic_5,0.922307690545937,6,103.826648792021,1.29927891730798,Retail & Personal Care,,,
13181,0.376738554940159,0.00825124043363273,0.00825692971754211,0.00824793203061769,0.598505342878048,Topic_5,0.598505342878048,15,103.823977027599,1.30025906837824,Retail & Personal Care,,,
13189,0.491346211300741,0.0102045643191269,0.208889336118777,0.0102185654024597,0.279341322858896,Topic_1,0.491346211300741,12,103.823875559142,1.30056842406059,Education & Professional Services,,,
13191,0.0168896952013475,0.0168926241950828,0.0168723589443425,0.0168733865243787,0.932471935134849,Topic_5,0.932471935134849,7,103.829912655038,1.30273944772514,Retail & Personal Care,,,
13199,0.288647709498672,0.0133868084503404,0.123073387738393,0.0133804064325008,0.561511687880094,Topic_5,0.561511687880094,9,103.829979060062,1.30222665851297,Retail & Personal Care,,,
13201,0.23908300395676,0.536906989223199,0.00882711033130833,0.00881215699795671,0.206370739490775,Topic_2,0.536906989223199,14,103.822162922195,1.30462957190931,Dining & Hospitality,,,
13211,0.272826725362967,0.559565452245376,0.106304299417614,0.000530729306343017,0.0607727936676993,Topic_2,0.559565452245376,243,103.841097011479,1.29244567015076,Dining & Hospitality,,,
14009,0.00883395582285633,0.964682437114649,0.00884290298568475,0.00881705714304911,0.00882364693376044,Topic_2,0.964682437114649,14,103.819114803751,1.26716643681684,Dining & Hospitality,,,
14011,0.152966265500778,0.534621169138965,0.0194265225567453,0.27352831782708,0.0194577249764306,Topic_2,0.534621169138965,6,103.825529600312,1.26796159645593,Dining & Hospitality,,,
14021,0.231389763513099,0.0169622389489798,0.0168806308156719,0.0168872196854575,0.717880147036792,Topic_5,0.717880147036792,7,103.824738917086,1.27135441331802,Retail & Personal Care,,,
14029,0.0277740630200799,0.0278164340514803,0.027815303450064,0.0277675917737412,0.888826607704635,Topic_5,0.888826607704635,4,103.824250516326,1.27245971838844,Retail & Personal Care,,,
14031,0.0228775436432992,0.0228582546740606,0.0228904036038908,0.2734014871062,0.657972310972549,Topic_5,0.657972310972549,5,103.823035494574,1.27624654224552,Retail & Personal Care,,,
14039,0.362936091908589,0.0149447690084527,0.0149523574950041,0.0149761973147485,0.592190584273206,Topic_5,0.592190584273206,8,103.823451543665,1.27657307389946,Retail & Personal Care,,,
14041,0.00827300293514666,0.00826846276763905,0.0082610320855585,0.00825189619344238,0.966945606018213,Topic_5,0.966945606018213,15,103.812518875855,1.27334988511429,Retail & Personal Care,,,
14049,0.0353947519644525,0.0354107101309316,0.0353874113377178,0.0354156476890839,0.858391478877814,Topic_5,0.858391478877814,3,103.813009236686,1.27319868827809,Retail & Personal Care,,,
14051,0.0228562387797146,0.0228783167335502,0.022851085762282,0.0228492543755122,0.908565104348941,Topic_5,0.908565104348941,5,103.814973164383,1.27569899813608,Retail & Personal Care,,,
14061,0.288141343098158,0.337285760341116,0.347779048037826,0.0133836248421575,0.0134102236807423,Topic_3,0.347779048037826,9,103.838523039866,1.27235845391219,Mixed-Use & Community,,,
14069,0.765180851547708,0.164842013292717,0.00383624322578484,0.00384463772567179,0.0622962542081179,Topic_1,0.765180851547708,33,103.837040960089,1.2726106232891,Education & Professional Services,,,
14071,0.599123213133399,0.00200222368552148,0.00199828307503273,0.294036463659171,0.102839816446876,Topic_1,0.599123213133399,64,103.833931634734,1.27218228608011,Education & Professional Services,,,
14119,0.370038267868524,0.476114647749907,0.147919445998148,0.00296276460273742,0.00296487378068422,Topic_2,0.476114647749907,43,103.822344258824,1.26594206357225,Dining & Hospitality,,,
14121,0.537740609265988,0.190302996744115,0.211328661127555,0.0594600109404664,0.00116772192187509,Topic_1,0.537740609265988,110,103.819156963198,1.26596210049309,Education & Professional Services,,,
14129,0.19129780959091,0.000925814799096235,0.784791497627901,0.0220598429175463,0.000925035064546807,Topic_3,0.784791497627901,139,103.820091479886,1.26595829175797,Mixed-Use & Community,,,
14131,0.25455227100396,0.0102066757238059,0.124105019265466,0.0102061008570619,0.600929933149707,Topic_5,0.600929933149707,12,103.816678221605,1.2674549218739,Retail & Personal Care,,,
14139,0.00947146269177538,0.140976451738047,0.260216201359537,0.00946170535143603,0.579874178859205,Topic_5,0.579874178859205,13,103.816247569837,1.26839634039647,Retail & Personal Care,,,
